{'source': 'update w1 w2', 'w2': 0.5826164901289671, 'w1': 0.3353208205710474, 'time': 3365.519058942795, 'mean_alpha': 0.35832909351129594, 'LL': -10.071489089192781, 'clock': 3365.4706410000003, 'outer_iter': 2, 'inner_iter': 14}
{'source': 'update w1 w2', 'w2': 0.58407924596857752, 'w1': 0.33424895722173603, 'time': 3407.480124950409, 'mean_alpha': 0.35832909351129594, 'LL': -10.062954344788878, 'clock': 3407.43464, 'outer_iter': 2, 'inner_iter': 15}
{'source': 'update w1 w2', 'w2': 0.58555651453288859, 'w1': 0.33318290600731687, 'time': 3449.4311730861664, 'mean_alpha': 0.35832909351129594, 'LL': -10.054813210186737, 'clock': 3449.3885210000003, 'outer_iter': 2, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 0.58695187980065755, 'w1': 0.33217259090204632, 'time': 3491.488280057907, 'mean_alpha': 0.35832909351129594, 'LL': -10.047195917072887, 'clock': 3491.448483, 'outer_iter': 2, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 0.58833153122123794, 'w1': 0.33119370349115224, 'time': 3533.5110700130463, 'mean_alpha': 0.35832909351129594, 'LL': -10.039487245499704, 'clock': 3533.474186, 'outer_iter': 2, 'inner_iter': 18}
{'source': 'update w1 w2', 'w2': 0.58963799346983681, 'w1': 0.330276294984723, 'time': 3575.4906721115112, 'mean_alpha': 0.35832909351129594, 'LL': -10.032095842032266, 'clock': 3575.4566990000003, 'outer_iter': 2, 'inner_iter': 19}
{'source': 'update w1 w2', 'w2': 0.59096213756223959, 'w1': 0.3294028384900356, 'time': 3617.4374129772186, 'mean_alpha': 0.35832909351129594, 'LL': -10.024995921231273, 'clock': 3617.406426, 'outer_iter': 2, 'inner_iter': 20}
{'source': 'update w1 w2', 'w2': 0.59221167391238805, 'w1': 0.32854663176402171, 'time': 3659.4293990135193, 'mean_alpha': 0.35832909351129594, 'LL': -10.018327774046973, 'clock': 3659.4013440000003, 'outer_iter': 2, 'inner_iter': 21}
{'source': 'update w1 w2', 'w2': 0.59342634285702722, 'w1': 0.32770962669853004, 'time': 3701.3926680088043, 'mean_alpha': 0.35832909351129594, 'LL': -10.011571510704666, 'clock': 3701.3675510000003, 'outer_iter': 2, 'inner_iter': 22}
{'source': 'update w1 w2', 'w2': 0.59463583258763764, 'w1': 0.32695396835210533, 'time': 3743.4167079925537, 'mean_alpha': 0.35832909351129594, 'LL': -10.005057585832144, 'clock': 3743.394468, 'outer_iter': 2, 'inner_iter': 23}
