{'source': 'update w1 w2', 'w2': 1.1730813064426036, 'w1': 0.066210650278814537, 'time': 7217.168313026428, 'mean_alpha': 0.43970412899981809, 'LL': -9.3524481801344415, 'clock': 7215.404501, 'outer_iter': 2, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 1.174369811458853, 'w1': 0.06548382393997039, 'time': 7305.368911981583, 'mean_alpha': 0.43970412899981809, 'LL': -9.3529512300645052, 'clock': 7303.596607, 'outer_iter': 2, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 1.176477659611928, 'w1': 0.066105434499675694, 'time': 7392.725847005844, 'mean_alpha': 0.43970412899981809, 'LL': -9.3518613941413733, 'clock': 7390.943167, 'outer_iter': 2, 'inner_iter': 18}
{'source': 'update w1 w2', 'w2': 1.1777016952202364, 'w1': 0.065529272284047618, 'time': 7553.196642875671, 'mean_alpha': 0.43970412899981809, 'LL': -9.3516058756393505, 'clock': 7550.981085, 'outer_iter': 2, 'inner_iter': 19}
{'source': 'update w1 w2', 'w2': 1.1795969761621337, 'w1': 0.066053346180860104, 'time': 7842.82445192337, 'mean_alpha': 0.43970412899981809, 'LL': -9.3519273389931961, 'clock': 7835.222186, 'outer_iter': 2, 'inner_iter': 20}
{'source': 'update w1 w2', 'w2': 1.1807746467852793, 'w1': 0.065564968337140997, 'time': 8045.38772892952, 'mean_alpha': 0.43970412899981809, 'LL': -9.3515897076476477, 'clock': 8037.329806, 'outer_iter': 2, 'inner_iter': 21}
{'source': 'update w1 w2', 'w2': 1.182530334223459, 'w1': 0.065980848204059458, 'time': 8125.424927949905, 'mean_alpha': 0.43970412899981809, 'LL': -9.3518935048571983, 'clock': 8117.3617300000005, 'outer_iter': 2, 'inner_iter': 22}
{'source': 'update w1 w2', 'w2': 1.1836845496188162, 'w1': 0.065634656314840847, 'time': 8205.924085855484, 'mean_alpha': 0.43970412899981809, 'LL': -9.351576837492761, 'clock': 8197.856201999999, 'outer_iter': 2, 'inner_iter': 23}
{'source': 'update w1 w2', 'w2': 1.185306705899726, 'w1': 0.065954707183853142, 'time': 8286.062397956848, 'mean_alpha': 0.43970412899981809, 'LL': -9.3518647025016008, 'clock': 8277.990011999998, 'outer_iter': 2, 'inner_iter': 24}
{'source': 'update w1 w2', 'w2': 1.186427708207672, 'w1': 0.065660718833484968, 'time': 8370.430161952972, 'mean_alpha': 0.43970412899981809, 'LL': -9.3515665011197626, 'clock': 8362.351632999998, 'outer_iter': 2, 'inner_iter': 25}
{'source': 'update w1 w2', 'w2': 1.1879240858909934, 'w1': 0.065921365236564611, 'time': 8451.865514039993, 'mean_alpha': 0.43970412899981809, 'LL': -9.3518399433647978, 'clock': 8443.782287999999, 'outer_iter': 2, 'inner_iter': 26}
{'source': 'update w1 w2', 'w2': 1.1890166726992601, 'w1': 0.065718986143431177, 'time': 8533.431468963623, 'mean_alpha': 0.43970412899981809, 'LL': -9.351558137096287, 'clock': 8525.343723, 'outer_iter': 2, 'inner_iter': 27}
{'source': 'update w1 w2', 'w2': 1.190407146715847, 'w1': 0.065916810080127522, 'time': 8614.466397047043, 'mean_alpha': 0.43970412899981809, 'LL': -9.3518184741428669, 'clock': 8606.373789, 'outer_iter': 2, 'inner_iter': 28}
{'source': 'update w1 w2', 'w2': 1.1914630319779638, 'w1': 0.065727022740859481, 'time': 8695.654728889465, 'mean_alpha': 0.43970412899981809, 'LL': -9.3515513262606937, 'clock': 8687.557502, 'outer_iter': 2, 'inner_iter': 29}
{'source': 'update alpha beta', 'w2': 1.1914630319779638, 'w1': 0.065727022740859481, 'time': 8743.577127933502, 'mean_alpha': 0.44159779222849282, 'LL': -9.3455585606660421, 'clock': 8735.474172999999, 'outer_iter': 3, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 1.1914630319779638, 'w1': 0.065727022740859481, 'time': 8790.81208896637, 'mean_alpha': 0.43513805071930634, 'LL': -9.3458664366868405, 'clock': 8782.705972, 'outer_iter': 3, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 1.1914630319779638, 'w1': 0.065727022740859481, 'time': 8836.192988872528, 'mean_alpha': 0.4287653935320066, 'LL': -9.3463075385735763, 'clock': 8828.08428, 'outer_iter': 3, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.1975438700320953, 'w1': 0.071947236750390983, 'time': 8922.1305809021, 'mean_alpha': 0.4287653935320066, 'LL': -9.3396649501642059, 'clock': 8914.016307999998, 'outer_iter': 3, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 1.2003195871438659, 'w1': 0.068759386437169751, 'time': 9002.466933965683, 'mean_alpha': 0.4287653935320066, 'LL': -9.3406632376437955, 'clock': 8994.347702, 'outer_iter': 3, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 1.205305130779261, 'w1': 0.072052013691221356, 'time': 9085.47022485733, 'mean_alpha': 0.4287653935320066, 'LL': -9.3398932226662232, 'clock': 9077.345624, 'outer_iter': 3, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.2074829603680701, 'w1': 0.068768489599091917, 'time': 9175.171123027802, 'mean_alpha': 0.4287653935320066, 'LL': -9.3402749420402209, 'clock': 9167.034948999999, 'outer_iter': 3, 'inner_iter': 3}
{'source': 'update w1 w2', 'w2': 1.2119488357389898, 'w1': 0.071562752704927707, 'time': 9258.290886878967, 'mean_alpha': 0.4287653935320066, 'LL': -9.3396562133465721, 'clock': 9250.148604, 'outer_iter': 3, 'inner_iter': 4}
{'source': 'update w1 w2', 'w2': 1.2138049806450237, 'w1': 0.068703578619863426, 'time': 9345.350769996643, 'mean_alpha': 0.4287653935320066, 'LL': -9.3400155286831748, 'clock': 9337.203354, 'outer_iter': 3, 'inner_iter': 5}
{'source': 'update w1 w2', 'w2': 1.2177992786609657, 'w1': 0.071099284676766905, 'time': 9428.31545305252, 'mean_alpha': 0.4287653935320066, 'LL': -9.3394982785457756, 'clock': 9420.16331, 'outer_iter': 3, 'inner_iter': 6}
{'source': 'update w1 w2', 'w2': 1.2194642967948266, 'w1': 0.068814692963391794, 'time': 9510.338366985321, 'mean_alpha': 0.4287653935320066, 'LL': -9.3398331171486717, 'clock': 9502.181353999998, 'outer_iter': 3, 'inner_iter': 7}
{'source': 'update w1 w2', 'w2': 1.2230394438613059, 'w1': 0.070764299918464932, 'time': 9594.388365983963, 'mean_alpha': 0.4287653935320066, 'LL': -9.3393883193133149, 'clock': 9586.226196, 'outer_iter': 3, 'inner_iter': 8}
